6443
ADD3	234.619	272.143	220.086	253.053	43.345	39.99	44.759	43.606	35.818	37.66	28.62	27.269	27.48	23.995	38.718	27.688	18.492	35.464	28.92	32.066	29.939	13.356	16.389	15.951	70.131	9.658	8.657	8.854
ADGRA2	60.138	96.804	73.081	55.49	86.715	118.217	92.058	185.536	189.738	174.947	3.097	2.916	5.141	4.127	203.858	143.665	135.805	38.017	23.779	44.428	30.472	206.432	209.274	198.494	18.121	69.608	78.645	78.753
ADGRA3	3.341	2.876	3.103	4.955	30.891	31.043	31.011	34.83	33.089	35.317	6.876	6.021	8.718	6.785	18.768	18.738	27.757	48.92	41.281	53.211	40.483	39.62	43.318	44.695	18.411	40.054	42.241	38.679
ADGRE5	102.661	39.874	56.496	42.626	4.887	2.77	5.586	105.569	108.53	96.531	20.149	19.017	23.202	21.069	91.852	80.861	205.273	60.753	51.081	62.783	49.334	26.981	24.808	22.852	8.356	11.436	10.431	11.127
ADI1	3.057	2.162	2.756	2.241	210.628	148.635	180.873	105.819	116.28	108.639	357.517	360.642	372.914	296.844	308.928	330.806	326.554	96.744	105.689	95.054	100.495	53.77	58.62	61.704	87.085	33.008	40.168	38.38
ADIPOR1	129.537	104.955	142.052	108.68	99.711	90.325	82.874	120.757	124.773	123.946	136.081	147.556	146.464	133.71	150.291	122.394	138.92	86.816	84.871	92.336	81.821	86.804	93.413	88.872	74.417	72.867	71.327	74.163
ADK	14.827	6.513	8.87	9.653	40.052	34.109	38.374	46.41	44.641	46.389	44.694	45.251	49.473	47.496	12.804	10.536	7.654	7.749	8.46	8.588	8.054	32.231	33.743	35.207	66.711	37.128	35.049	36.492
ADM	381.932	850.565	457.69	642.394	18.231	27.438	21.863	372.897	425.503	354.858	3.149	2.933	3.434	3.344	230.494	513.593	509.5	81.533	64.516	83.084	81.275	95.726	102.999	97.593	36.527	73.984	80.251	86.973
ADNP2	15.383	16.903	16.753	13.094	37.657	31.534	37.154	13.978	11.933	12.519	11.609	10.608	11.811	10.35	12.358	11.749	9.492	5.935	4.61	7.944	5.005	6.353	6.796	6.673	10.984	21.462	21.154	20.651
ADO	27.704	12.742	18.157	23.956	18.045	25.686	17.008	25.463	23.839	24.535	11.599	8.896	10.176	8.43	19.43	17.239	13.575	29.521	27.595	29.255	26.613	23.01	22.485	21.463	22.258	15.343	15.13	15.55
ADPGK	60.17	64.978	64.507	65.793	79.368	66.922	67.058	92.669	91.673	88.683	76.327	76.223	80.397	63.643	64.293	69.515	96.786	70.343	76.935	69.676	67.446	62.242	69.509	69.072	26.076	158.209	158.959	158.629
ADPRM	12.726	12.195	12.722	22.85	11.626	12.089	13.063	1.601	1.43	1.684	45.205	37.669	35.285	37.597	2.603	3.075	2.927	9.665	8.948	11.858	8.402	1.784	2.107	2.206	2.371	12.378	10.236	10.38
ADRM1	40.099	41.661	43.083	36.965	261.632	356.115	262.039	100.094	120.989	96.687	319.953	402.151	405.014	367.329	123.617	139.49	130.476	130.23	129.834	146.959	141.006	178.152	159.932	156.511	324.221	95.646	106.146	101.821
ADSL	21.394	25.668	34.2	15.542	75.866	73.507	81.586	43.634	40.267	42.97	86.301	96.073	92.958	86.658	45.552	34.875	35.742	65.666	65.021	69.766	74.011	85.233	84.869	89.529	137.277	76.984	70.775	73.132
AEBP1	264.564	672.723	454.007	588.878	204.474	292.673	251.643	690.231	659.914	646.059	61.303	60.497	74.495	69.365	817.13	650.586	1297.859	179.292	119.043	202.614	155.906	352.838	373.672	333.982	56.842	348.872	394.152	344.766
AEBP2	12.149	13.411	8.259	12.457	35.937	28.707	31.112	18.937	15.139	18.818	40.121	34.572	30.984	27.666	28.464	25.569	24.29	26.18	19.308	31.128	22.048	9.984	10.938	11.675	30.784	50.615	44.324	45.866
AEN	6.562	10.665	11.722	8.212	39.866	57.6	42.324	48.022	50.624	47.197	32.04	35.387	32.542	30.503	50.793	62.897	45.615	99.472	90.931	125.28	100.387	48.679	46.811	48.607	107.215	78.552	87.919	85.936
